id,name,state,category,featured
41,Natural Stone Institute,OHIO,UNCATEGORIZED,STATE
42,Queens Long Island Renal Institute,NEW_YORK,HEALTH_CARE,NATIONAL
43,Ssm Regional Health Services,MISSOURI,HEALTH_CARE,STATE
44,Community Missions Of Niagara Frontier Inc,NEW_YORK,HUMAN_SERVICES,
45,Centre College Of Kentucky,KENTUCKY,HIGHER_EDUCATION,NATIONAL
46,Richmond Performing Arts Alliance,VIRGINIA,ARTS_CULTURE_HUMANITIES,STATE
47,Glades Academy Inc,FLORIDA,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,STATE
48,Healing Lodge Of The Seven Nations,WASHINGTON,RELIGION_RELATED,STATE
49,Sutter Roseville Medical Center Foundation,CALIFORNIA,HEALTH_CARE,NATIONAL
50,American Transportation Research Institute Inc,VIRGINIA,PUBLIC_SAFETY_DISASTER_PREPAREDNESS_RELIEF,
51,Kccdd Inc,ILLINOIS,UNCATEGORIZED,STATE
52,Pennsylvania National Horse Show Foundation,PENNSYLVANIA,RECREATION_SPORTS,STATE
53,Girls Charter School Inc,MARYLAND,K_12,
54,Bristol Elder Services Inc,MASSACHUSETTS,HUMAN_SERVICES,
55,East Grand Rapids Schools Foundation,MICHIGAN,K_12,STATE
56,Jefferson Memorial Hospital,WEST_VIRGINIA,HEALTH_CARE,STATE
57,Society Of The Four Arts,FLORIDA,ARTS_CULTURE_HUMANITIES,
58,Iqa Foundation,TEXAS,K_12,
59,Sojourner House Inc,RHODE_ISLAND,HUMAN_SERVICES,STATE
60,Deaconess Clinic Inc,INDIANA,HEALTH_CARE,
61,Cabell Huntington Hospital Inc,WEST_VIRGINIA,HEALTH_CARE,STATE
62,Summit Academy Of Greater Louisville Inc,KENTUCKY,K_12,STATE
63,Hill Country Telephone Cooperative Inc,TEXAS,OTHER,
64,St Hope Leadership Academy,NEW_YORK,K_12,
65,Bethesda Properties Inc,OHIO,UNKNOWN,
66,Lutheran Child Family Services Of Indiana,INDIANA,HUMAN_SERVICES,STATE
67,Evans Memorial Hospital Inc,GEORGIA,HEALTH_CARE,STATE
68,Somerset Health Services Inc,PENNSYLVANIA,OTHER,
69,Swi Industrial Solutions Inc,MISSOURI,EMPLOYMENT,
70,Byron House Inc,MARYLAND,UNCATEGORIZED,NATIONAL
71,Associates Health Trust,OHIO,OTHER,NATIONAL
72,American Tort Reform Association,DISTRICT_OF_COLUMBIA,OTHER,NATIONAL
73,Turning Point Foundation Inc,MARYLAND,OTHER,
74,Rainier Prep,WASHINGTON,K_12,NATIONAL
75,Lutheran Church Home Of Buffalo Inc,NEW_YORK,HUMAN_SERVICES,STATE
76,Residential Services Of Northeastern Minnesota Inc,MINNESOTA,HUMAN_SERVICES,
77,Real Medicine Inc,CALIFORNIA,HUMAN_SERVICES,NATIONAL
78,Korean American Community Foundation Inc,NEW_YORK,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,
79,Help Foundation Inc,OHIO,HUMAN_SERVICES,NATIONAL
80,Immigrant Legal Resource Center,CALIFORNIA,CRIME_LEGAL_RELATED,
81,Lake Country School Montessori Learning Environments,MINNESOTA,K_12,STATE
82,Eastern Maine Healthcare Systems,MAINE,HEALTH_CARE,
83,Ethics Resource Center Inc,VIRGINIA,ARTS_CULTURE_HUMANITIES,
84,Madison County Hospital Health Systems Inc,FLORIDA,HEALTH_CARE,NATIONAL
85,Ensign Learning Center,UTAH,K_12,NATIONAL
86,Jewish Federation Of San Diego County,CALIFORNIA,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,STATE
87,Perseus House Charter School Of Excellence,PENNSYLVANIA,K_12,
88,Highland Hospital Of Rochester,NEW_YORK,HEALTH_CARE,STATE
89,Montpelier Foundation,VIRGINIA,ARTS_CULTURE_HUMANITIES,
90,Nus America Foundation Inc,NEW_YORK,OTHER,NATIONAL
91,Grand Peak Academy,COLORADO,OTHER,
92,Options Counseling Services Of Oregon,OREGON,UNKNOWN,NATIONAL
93,Lions Insurance Company,INDIANA,HEALTH_CARE,NATIONAL
94,Marjaree Mason Center Inc,CALIFORNIA,HUMAN_SERVICES,
95,Florida Institute Of Technology Inc,FLORIDA,HIGHER_EDUCATION,STATE
96,Village School Inc,CALIFORNIA,OTHER,
97,Second Nature Inc,MASSACHUSETTS,COMMUNITY,NATIONAL
98,Wellspan Properties Inc,PENNSYLVANIA,HOUSING_SHELTER,
99,Nativity Boston Inc,MASSACHUSETTS,OTHER,
100,Presbyterian Home Quitman Inc,GEORGIA,HEALTH_CARE,
101,Lake View Cemetery Association,OHIO,OTHER,
102,Wasatch Waldorf Charter School,UTAH,K_12,NATIONAL
103,Hawaii Insurance Guaranty Association,HAWAII,OTHER,
104,California Medical Association Properties Inc,CALIFORNIA,OTHER,NATIONAL
105,Grand Rapids Kent Cty Convention Center Vistors Bureau,MICHIGAN,OTHER,
106,Easter Seals Alabama Inc,ALABAMA,HEALTH_CARE,STATE
107,Methodist Hospitals,TEXAS,HEALTH_CARE,STATE
108,Service Organization Of Big Country,TEXAS,HEALTH_CARE,NATIONAL
109,Harbison Community Association Inc,SOUTH_CAROLINA,OTHER,
110,Highland Lakes Baptist Encampment Inc,TEXAS,UNCATEGORIZED,
111,Discovery Academy,MICHIGAN,K_12,
112,Brigid Collins House,WASHINGTON,HUMAN_SERVICES,STATE
113,Pennsylvania Association For The Blind,PENNSYLVANIA,OTHER,STATE
114,Colonial Williamsburg Foundation,VIRGINIA,ARTS_CULTURE_HUMANITIES,
115,Bionexus Foundation Inc,VIRGINIA,SCIENCE_TECHNOLOGY,STATE
116,Willapa Counseling Center,WASHINGTON,MENTAL_HEALTH_CRISIS_INTERVENTION,STATE
117,Surprise Valley Electrification Corp,CALIFORNIA,OTHER,
118,Christian Friends Of Korea Inc,NORTH_CAROLINA,RELIGION_RELATED,STATE
119,Second Street Youth Center Foundation Inc,NEW_JERSEY,HUMAN_SERVICES,
120,Species 360,MINNESOTA,UNCATEGORIZED,
121,Thunderbirds Charities,ARIZONA,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,NATIONAL
122,Lutheran Social Mission Society,PENNSYLVANIA,HUMAN_SERVICES,
123,Mental Health For Children Inc,OREGON,HEALTH_CARE,
124,Garten Services Inc,OREGON,UNCATEGORIZED,STATE
125,Exchange Club Center For The Prevention Of Child Abuse Of Nc,NORTH_CAROLINA,HUMAN_SERVICES,STATE
126,California Association For Bilingual Education,CALIFORNIA,OTHER,
127,International Disaster Emergency Service Inc,INDIANA,PUBLIC_SAFETY_DISASTER_PREPAREDNESS_RELIEF,STATE
128,Baltimore Design School Inc,MARYLAND,K_12,STATE
129,Disc Village Inc,FLORIDA,MENTAL_HEALTH_CRISIS_INTERVENTION,STATE
130,Association Of Minnesota Counties,MINNESOTA,COMMUNITY_IMPROVEMENT_CAPACITY_BUILDING,STATE
131,Greenwich Water Club Inc,CONNECTICUT,RECREATION_SPORTS,NATIONAL
132,Young Womens Christian Association Of Lubbock Texas Inc,TEXAS,HUMAN_SERVICES,
133,Historic Hudson Valley,NEW_YORK,ARTS_CULTURE_HUMANITIES,
134,Woodlands School Inc,WISCONSIN,K_12,NATIONAL
135,Rha Health Services Inc,GEORGIA,HUMAN_SERVICES,
136,Hacienda Golf Club,CALIFORNIA,OTHER,
137,United Negro College Fund Inc,DISTRICT_OF_COLUMBIA,OTHER,STATE
138,Open Door Health Center,MINNESOTA,HEALTH_CARE,
139,Old Dominion University,VIRGINIA,HIGHER_EDUCATION,STATE
140,Arizona State University Research Park Inc,ARIZONA,HIGHER_EDUCATION,NATIONAL
141,World Savvy Inc,CALIFORNIA,YOUTH_DEVELOPMENT,
142,Thread Inc,MARYLAND,YOUTH_DEVELOPMENT,STATE
143,Girl Scouts Of Northeast Texas,TEXAS,YOUTH_DEVELOPMENT,STATE
144,Discovery Charter School,CALIFORNIA,K_12,
145,Friends Of The National Arboretum Inc,DISTRICT_OF_COLUMBIA,ENVIRONMENT,
146,Special Olympics Connecticut Inc,CONNECTICUT,RECREATION_SPORTS,
147,Ocean Reef Foundation Inc,FLORIDA,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,
148,Hospice Of Reno County Inc,KANSAS,HUMAN_SERVICES,NATIONAL
149,Baptist Physician Network,TEXAS,HEALTH_CARE,STATE
150,Sozo Children International,ALABAMA,INTERNATIONAL_FOREIGN_AFFAIRS_NATIONAL_SECURITY,
151,Crown College,MINNESOTA,HIGHER_EDUCATION,STATE
152,Wellesley College,MASSACHUSETTS,HIGHER_EDUCATION,STATE
153,Service To Overcome Drug Abuse Among Teenagers,NEW_JERSEY,UNCATEGORIZED,NATIONAL
154,Spooner Health System Inc,WISCONSIN,HEALTH_CARE,STATE
155,Georgia Hospital Association Inc,GEORGIA,OTHER,NATIONAL
156,New Horizons Serving Individuals With Special Needs,CALIFORNIA,HUMAN_SERVICES,STATE
157,Milestones Services Inc,ARKANSAS,K_12,
158,Concern Professional Services For Children Youth And Families,PENNSYLVANIA,HUMAN_SERVICES,NATIONAL
159,Coast Guard Foundation Inc,CONNECTICUT,PUBLIC_SOCIETAL_BENEFIT,
160,Arc Of Northeastern Pa,PENNSYLVANIA,UNCATEGORIZED,NATIONAL
161,Atlantic Recovery Services,CALIFORNIA,MENTAL_HEALTH_CRISIS_INTERVENTION,STATE
162,Thistle Foundation Inc,ARKANSAS,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,STATE
163,Christian Camps Of Pittsburgh Inc,PENNSYLVANIA,RECREATION_SPORTS,
164,Citizens Academy East,OHIO,K_12,NATIONAL
165,Diller Quaile School Of Music Inc,NEW_YORK,ARTS_CULTURE_HUMANITIES,
166,New Haven Care Center Inc,MISSOURI,UNCATEGORIZED,
167,Humane Society Of North Central Florida,FLORIDA,ANIMAL_RELATED,
168,National Interscholastic Cycling Association,CALIFORNIA,YOUTH_DEVELOPMENT,STATE
169,Womens International Zionist Organization,NEW_YORK,HUMAN_SERVICES,NATIONAL
170,Communities In Schools Of Greater Central Texas Incorporated,TEXAS,K_12,
171,National Reined Cow Horse Association,TEXAS,OTHER,STATE
172,Railroad Employees National Dental Plan And Trust,VIRGINIA,OTHER,
173,Carriage Town Ministries,MICHIGAN,HOUSING_SHELTER,NATIONAL
174,Ronald Mc Donald House Charities Of Kentuckiana Inc,KENTUCKY,HUMAN_SERVICES,
175,Friendship Community,PENNSYLVANIA,HUMAN_SERVICES,STATE
176,Hospice Palliative Carecenter,NORTH_CAROLINA,HUMAN_SERVICES,
177,Creative Connections Of Bakerfield Inc,CALIFORNIA,HUMAN_SERVICES,
178,Stopping Woman Abuse Now Inc,ILLINOIS,HUMAN_SERVICES,
179,Midlands Stem Institute Inc,SOUTH_CAROLINA,K_12,NATIONAL
180,Red Mountain Family Services Inc,NEW_MEXICO,HUMAN_SERVICES,NATIONAL
181,Cg Jung Institute Of San Francisco,CALIFORNIA,MENTAL_HEALTH_CRISIS_INTERVENTION,
182,Creutzfeldt Jakob Disease Foundation Inc,OHIO,VOLUNTARY_HEALTH_ASSOCIATIONS_MEDICAL_DISCIPLINES,NATIONAL
183,Camden Clark Physician Corporation,WEST_VIRGINIA,HEALTH_CARE,NATIONAL
184,Sacramento Lgbt Community Center,CALIFORNIA,HUMAN_SERVICES,
185,Shared Hope International,WASHINGTON,CIVIL_RIGHTS_SOCIAL_ACTION_ADVOCACY,NATIONAL
186,Hearts For Hearing Foundation,OKLAHOMA,HEALTH_CARE,NATIONAL
187,Circus Of The Star,MINNESOTA,YOUTH_DEVELOPMENT,NATIONAL
188,Valley Childrens Hospital,CALIFORNIA,HEALTH_CARE,
189,Orthopaedic Research Society,ILLINOIS,MEDICAL_RESEARCH,STATE
190,Wallace Memorial Baptist Church,TENNESSEE,RELIGION_RELATED,
191,The Brookwood Endowment Inc,TEXAS,COMMUNITY,
192,Crosswalk Community Action Agency Inc,ILLINOIS,UNCATEGORIZED,NATIONAL
193,Volunteers Of America Inc Volunteers Of America Utah,UTAH,HUMAN_SERVICES,
194,Community Foundation Of North Central Massachusetts Inc,MASSACHUSETTS,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,NATIONAL
195,Greater Green Bay Ymca Inc,WISCONSIN,HUMAN_SERVICES,
196,Peninsula Conservation Center Management Council,CALIFORNIA,OTHER,
197,Lighthouse Inc,PENNSYLVANIA,HUMAN_SERVICES,STATE
198,Broome Community College Foundation Inc,NEW_YORK,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,STATE
199,Eastern Wyoming College Foundation,WYOMING,HIGHER_EDUCATION,NATIONAL
200,Mikva Challenge Grant Foundation Inc,ILLINOIS,OTHER,
201,St Patrick Residence,ILLINOIS,HEALTH_CARE,STATE
202,Public Service Company Of New Mexico Retiree Medical Benefit,PENNSYLVANIA,OTHER,STATE
203,House Of Ruth Inc,CALIFORNIA,HUMAN_SERVICES,NATIONAL
204,Consortium Of Universities Of The Washington Metropolitan Area,DISTRICT_OF_COLUMBIA,HIGHER_EDUCATION,STATE
205,Save The Storks Do Not Contact,COLORADO,HUMAN_SERVICES,
206,The Kline Galland Center,WASHINGTON,HEALTH_CARE,STATE
207,Meadows Arts And Technology Elementary School,CALIFORNIA,K_12,STATE
208,Oaks Education Association,WASHINGTON,K_12,NATIONAL
209,Community Multi Services Inc,MARYLAND,UNCATEGORIZED,STATE
210,Wendell Holmes Rural Fire Department,NORTH_CAROLINA,UNCATEGORIZED,
211,Smart Start Of Forsyth County,NORTH_CAROLINA,K_12,
212,Southwest Florida Community Foundation Inc,FLORIDA,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,
213,Aquarium Of The Pacific,CALIFORNIA,ANIMAL_RELATED,
214,South Carolina High School League,SOUTH_CAROLINA,K_12,NATIONAL
215,Murphy Harpst Childrens Centers Inc,GEORGIA,MENTAL_HEALTH_CRISIS_INTERVENTION,
216,Episcopal Health Foundation,TEXAS,HEALTH_CARE,
217,Quail Run Primary School Foundation,UTAH,K_12,
218,Fulton Atlanta Community Action Authority Inc,GEORGIA,HUMAN_SERVICES,
219,Citydance Ensemble Inc,DISTRICT_OF_COLUMBIA,ARTS_CULTURE_HUMANITIES,
220,Greater Yellowstone Coalition Inc,MONTANA,ENVIRONMENT,
221,Long Island Jewish Medical Center,NEW_YORK,HEALTH_CARE,
222,Chillicothe Ross Community Foundation Inc,OHIO,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,NATIONAL
223,The Center For Teen Empowerment Inc,MASSACHUSETTS,YOUTH_DEVELOPMENT,NATIONAL
224,General Truck Drivers Office Food And Warehouse Local 952,CALIFORNIA,OTHER,NATIONAL
225,Monmouth Council No 9 Civil Service Association Housing Corporation,NEW_JERSEY,OTHER,NATIONAL
226,American Speech Language Hearing Foundation,MARYLAND,MEDICAL_RESEARCH,
227,New York Yankees Foundation Inc,NEW_YORK,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,
228,Mapleton Community Home,MINNESOTA,HUMAN_SERVICES,
229,Sepsis Alliance,CALIFORNIA,VOLUNTARY_HEALTH_ASSOCIATIONS_MEDICAL_DISCIPLINES,NATIONAL
230,Creative Concepts For Living Inc,MISSOURI,HUMAN_SERVICES,NATIONAL
231,Russian American Foundation Inc,NEW_YORK,ARTS_CULTURE_HUMANITIES,
232,Pennsylvania Institute Of Certified Public Accountants,PENNSYLVANIA,UNCATEGORIZED,
233,Monarch Academy Baltimore Campus Inc,MARYLAND,K_12,STATE
234,Bennett College,NORTH_CAROLINA,HIGHER_EDUCATION,STATE
235,Reno Rodeo Association,NEVADA,OTHER,NATIONAL
236,Worldview Academy,TEXAS,RELIGION_RELATED,
237,Commonwealth Charitable Management Inc,PENNSYLVANIA,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,NATIONAL
238,Household Goods Inc,MASSACHUSETTS,HOUSING_SHELTER,
239,Greater Adirondack Home Aides Inc,NEW_YORK,HUMAN_SERVICES,NATIONAL
240,Renewanation,VIRGINIA,OTHER,
241,Liguori Academy,PENNSYLVANIA,K_12,
242,Residential Alternatives Of Illinois Inc,ILLINOIS,HUMAN_SERVICES,NATIONAL
243,Overland Park Nursing Rehabcenter Inc,FLORIDA,UNCATEGORIZED,
244,Second Amendment Foundation Do Not Contact,WASHINGTON,CIVIL_RIGHTS_SOCIAL_ACTION_ADVOCACY,NATIONAL
245,Victory Academy,OREGON,K_12,
246,Alabama 4 H Club Foundation Inc,ALABAMA,YOUTH_DEVELOPMENT,
247,Abrazar Inc,CALIFORNIA,HUMAN_SERVICES,
248,Poughkeepsie Rural Cemetery,NEW_YORK,OTHER,NATIONAL
249,Texas State University Development Foundation,TEXAS,HIGHER_EDUCATION,
250,Childrens School Inc,CONNECTICUT,K_12,STATE
251,John Clarke Retirement Center,RHODE_ISLAND,UNCATEGORIZED,NATIONAL
252,Young Mens Christian Association Of The East Bay,CALIFORNIA,HUMAN_SERVICES,
253,Orthopaedic Research And Education Foundation,ILLINOIS,MEDICAL_RESEARCH,
254,Marrakech Residential Services Inc,CONNECTICUT,HUMAN_SERVICES,STATE
255,Childrens Respite Care Center Inc,NEBRASKA,HUMAN_SERVICES,NATIONAL
256,Cleveland Racquet Club Inc,OHIO,OTHER,STATE
257,Saint Anne Home And Retirement Community,INDIANA,HOUSING_SHELTER,STATE
258,Ancient Free Accepted Masons Of Maryland Grand Lodge,MARYLAND,UNCATEGORIZED,NATIONAL
259,Carroll University Inc,WISCONSIN,OTHER,
260,Renaissance Community Homes,MICHIGAN,HUMAN_SERVICES,
261,Commonhealth Action,DISTRICT_OF_COLUMBIA,HEALTH_CARE,
262,Catholic Charities Of Sacramento Inc,CALIFORNIA,HUMAN_SERVICES,
263,Cope Family Center,CALIFORNIA,HUMAN_SERVICES,
264,Juilliard School,NEW_YORK,HIGHER_EDUCATION,
265,Young Womens Leadership Charter School Of Chicago,ILLINOIS,K_12,
266,Friends Of Sky Ranch Inc,TEXAS,YOUTH_DEVELOPMENT,
267,Kettering Medical Center Foundation,OHIO,HEALTH_CARE,
268,Support Our Troops Inc,FLORIDA,PUBLIC_SOCIETAL_BENEFIT,
269,Young Mens Christian Association Of San Francisco,CALIFORNIA,HUMAN_SERVICES,NATIONAL
270,Ccba Tai Tung Management Inc,MASSACHUSETTS,HOUSING_SHELTER,STATE
271,The Reason Foundation,CALIFORNIA,PUBLIC_SOCIETAL_BENEFIT,STATE
272,Baltimore Area Council Boy Scouts Of America,MARYLAND,YOUTH_DEVELOPMENT,STATE
273,Fellowship Place Inc,CONNECTICUT,UNCATEGORIZED,STATE
274,Central New York Technology Development Organization Inc,NEW_YORK,UNCATEGORIZED,
275,Palo Alto Art Center,CALIFORNIA,ARTS_CULTURE_HUMANITIES,
276,Association Of The Wall And Ceiling Industries,VIRGINIA,OTHER,STATE
277,The Florence Crittenton Agency Inc,TENNESSEE,UNCATEGORIZED,STATE
278,Mercy Clinic Springfield Communities,MISSOURI,HEALTH_CARE,NATIONAL
279,National Energy Foundation Inc,UTAH,ENVIRONMENT,STATE
280,Network For Victim Recovery In The District Of Columbia,DISTRICT_OF_COLUMBIA,HUMAN_SERVICES,STATE
281,St Francis Physician Services Inc,SOUTH_CAROLINA,HEALTH_CARE,STATE
282,Tribeca Film Institute Inc,NEW_YORK,ARTS_CULTURE_HUMANITIES,NATIONAL
283,Garde Arts Center Inc,CONNECTICUT,ARTS_CULTURE_HUMANITIES,NATIONAL
284,Girl Scouts Of Greater Los Angeles,CALIFORNIA,YOUTH_DEVELOPMENT,NATIONAL
285,Srm Alliance Hospital Services,CALIFORNIA,HEALTH_CARE,STATE
286,Brookville Behavioral Health,PENNSYLVANIA,HEALTH_CARE,STATE
287,Asylum Access,CALIFORNIA,INTERNATIONAL_FOREIGN_AFFAIRS_NATIONAL_SECURITY,STATE
288,Linden Hall School For Girls,PENNSYLVANIA,K_12,STATE
289,Outing Club,IOWA,OTHER,NATIONAL
290,Better Business Bureau Detroit Eastern Michigan,MICHIGAN,OTHER,STATE
291,Legacy Traditional School Northwest Tucson Inc,ARIZONA,K_12,STATE
292,Caritas Inc,WISCONSIN,FOOD_AGRICULTURE_NUTRITION,NATIONAL
293,Inland Christian Home Inc,CALIFORNIA,HUMAN_SERVICES,
294,Zoo Miami Foundation Inc,FLORIDA,ANIMAL_RELATED,
295,Planned Parenthood Mohawk Hudson Inc,NEW_YORK,HEALTH_CARE,NATIONAL
296,Riverbend Medical Group Inc,CONNECTICUT,HEALTH_CARE,
297,United Way Of Greater Baytown Area And Chambers County,TEXAS,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,STATE
298,Journey Care,ILLINOIS,HUMAN_SERVICES,
299,Feather River College Foundation Inc,CALIFORNIA,HIGHER_EDUCATION,NATIONAL
300,Heating Piping Refrigeration Training Fund,MARYLAND,UNCATEGORIZED,
301,Rural Health Care Inc,SOUTH_DAKOTA,HEALTH_CARE,NATIONAL
302,Marin Montessori School Inc,CALIFORNIA,K_12,STATE
303,Four Rivers Community School Inc,OREGON,K_12,STATE
304,Lifespan Day Care,PENNSYLVANIA,UNCATEGORIZED,
305,Communities In Schools Of Charlotte Mecklenburg Inc,NORTH_CAROLINA,YOUTH_DEVELOPMENT,
306,American Epilepsy Society,ILLINOIS,VOLUNTARY_HEALTH_ASSOCIATIONS_MEDICAL_DISCIPLINES,
307,Canton Regional Chamber Of Commerce,OHIO,OTHER,
308,Arlington Baptist University,TEXAS,HIGHER_EDUCATION,STATE
309,Southeast Association For Special Parks And Recreation,ILLINOIS,HUMAN_SERVICES,
310,Yakima Valley Community Foundation,WASHINGTON,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,
311,Betty Jean Kerr Peoples Health Centers Inc,MISSOURI,HEALTH_CARE,
312,Sisters Of Nazareth Of Fresno,CALIFORNIA,HUMAN_SERVICES,NATIONAL
313,Mid Shore Mental Health Systems Inc,MARYLAND,MENTAL_HEALTH_CRISIS_INTERVENTION,STATE
314,Silvermine Guild Of Artists Inc,CONNECTICUT,ARTS_CULTURE_HUMANITIES,
315,Wellspring Living Inc,GEORGIA,HUMAN_SERVICES,
316,Kauffman Center For The Performing Arts,MISSOURI,ARTS_CULTURE_HUMANITIES,
317,Hope Haven Association Inc,FLORIDA,OTHER,
318,D A R E America,CALIFORNIA,YOUTH_DEVELOPMENT,
319,Holy Family Memorial Inc,WISCONSIN,HEALTH_CARE,STATE
320,Goodwill Industries Of Southeastern Louisiana Inc,LOUISIANA,HUMAN_SERVICES,NATIONAL
321,Berkshire Extended Care Services Inc,MASSACHUSETTS,HEALTH_CARE,STATE
322,Friends Of Youth Services And Palm Beach County Inc,FLORIDA,HEALTH_CARE,STATE
323,National Mentoring Partnership Incorporated,MASSACHUSETTS,YOUTH_DEVELOPMENT,
324,Forest At Duke Inc,NORTH_CAROLINA,HUMAN_SERVICES,STATE
325,South India Christian Mission Inc,GEORGIA,RELIGION_RELATED,NATIONAL
326,Kosciusko Community Y M C A Inc,INDIANA,HUMAN_SERVICES,
327,Mission Pre Born Inc,INDIANA,RELIGION_RELATED,STATE
328,Portuguese Fraternal Society Of America,CALIFORNIA,OTHER,STATE
329,Backcountry Hunters And Anglers,MONTANA,ENVIRONMENT,
330,South Florida Pbs Inc,FLORIDA,ARTS_CULTURE_HUMANITIES,STATE
331,Butte Silver Bow Primary Health Care Clinic Inc,MONTANA,HEALTH_CARE,
332,Hazleton Health Wellness Center,PENNSYLVANIA,HEALTH_CARE,
333,San Mateo County Historical Association,CALIFORNIA,ARTS_CULTURE_HUMANITIES,STATE
334,Proprietors Of The Cemetery Of Mount Auburn,MASSACHUSETTS,OTHER,NATIONAL
335,Ronald Mc Donald House Of Danville,PENNSYLVANIA,UNCATEGORIZED,
336,New England Interstate Water Pollution Control Commission,MASSACHUSETTS,ENVIRONMENT,NATIONAL
337,Edward Health And Fitness Center,ILLINOIS,OTHER,
338,Eastern Mennonite University,VIRGINIA,HIGHER_EDUCATION,
339,Dunwoody Village Inc,PENNSYLVANIA,HUMAN_SERVICES,STATE
340,Legal Services Of New Jersey Inc,NEW_JERSEY,CRIME_LEGAL_RELATED,NATIONAL
341,Christian Care Mesa Ii Inc Fellowship Square Brown Center,ARIZONA,HOUSING_SHELTER,
342,Drugs For Neglected Diseasesinitiative North America Inc,NEW_YORK,VOLUNTARY_HEALTH_ASSOCIATIONS_MEDICAL_DISCIPLINES,STATE
